2023-07-06 22:54:55.245 chat.py[13] <module> -> Find Control Timeout(10s): {ControlType: TextControl}
2023-07-06 22:55:05.278 chat.py[13] <module> -> Find Control Timeout(10s): {ControlType: TextControl}
2023-07-06 22:55:15.313 chat.py[13] <module> -> 2023-07-06 22:57:17.259 chat.py[6] <module> -> Find Control Timeout(10s): {Name: '微信', ControlType: WindowControl}
2023-07-06 22:58:15.489 chat.py[13] <module> -> Find Control Timeout(10s): {ControlType: TextControl}
2023-07-06 22:58:25.589 chat.py[13] <module> -> 2023-07-06 23:00:04.742 chat.py[14] <module> -> Find Control Timeout(10s): {ControlType: TextControl}
2023-07-06 23:00:14.841 chat.py[14] <module> -> 2023-07-06 23:03:24.410 chat.py[14] <module> -> Find Control Timeout(10s): {ControlType: TextControl}
2023-07-06 23:03:34.536 chat.py[14] <module> -> Find Control Timeout(10s): {ControlType: TextControl}
2023-07-06 23:03:44.615 chat.py[14] <module> -> Find Control Timeout(10s): {ControlType: TextControl}
2023-07-06 23:03:54.691 chat.py[14] <module> -> Find Control Timeout(10s): {ControlType: TextControl}
2023-07-06 23:04:04.778 chat.py[14] <module> -> 2023-07-06 23:05:02.299 chat.py[14] <module> -> 2023-07-06 23:21:46.712 chat.py[16] <module> -> Find Control Timeout(10s): {Name: '消息', ControlType: ListControl}
2023-07-06 23:21:58.281 chat.py[23] <module> -> Find Control Timeout(10s): {SubName: '111\n', ControlType: TextControl}
2023-07-06 23:22:09.501 chat.py[23] <module> -> Find Control Timeout(10s): {SubName: '111\n', ControlType: TextControl}
2023-07-06 23:22:20.648 chat.py[23] <module> -> Find Control Timeout(10s): {SubName: '111\n', ControlType: TextControl}
2023-07-06 23:22:31.768 chat.py[23] <module> -> 2023-07-06 23:24:39.562 chat.py[23] <module> -> Find Control Timeout(10s): {SubName: '1520\n', ControlType: TextControl}
2023-07-06 23:24:54.200 chat.py[16] <module> -> Find Control Timeout(10s): {Name: '消息', ControlType: ListControl}
2023-07-06 23:25:06.373 chat.py[16] <module> -> Find Control Timeout(10s): {Name: '消息', ControlType: ListControl}
2023-07-06 23:25:17.806 chat.py[23] <module> -> Find Control Timeout(10s): {SubName: '1520\n', ControlType: TextControl}
2023-07-06 23:25:32.419 chat.py[16] <module> -> Find Control Timeout(10s): {Name: '消息', ControlType: ListControl}
2023-07-06 23:25:47.033 chat.py[16] <module> -> 2023-07-06 23:30:33.344 chat.py[6] <module> -> Find Control Timeout(10s): {Name: 'WeChat', ControlType: WindowControl}
